Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_041083617.1	N	GT51(54-217)	GT51	GT51	N	3
WP_041083623.1	N	GH109(3-160)	N	N	N	1
WP_041083660.1	N	AA4(1-233)	N	N	N	1
WP_041083663.1	N	GH3(61-283)	GH3	GH3	N	3
WP_041083769.1	N	GT4(158-299)	GT4	GT4	N	3
WP_041083879.1	N	GH20(117-413)	GH20	GH20	N	3
WP_041083965.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_041084005.1	3.2.1.24	GH38(258-513)	GH38	GH38	N	3
WP_041084419.1	N	GH23(34-141)	N	N	N	1
WP_052465226.1	3.2.1.41	GH13_14(239-556)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_052465230.1	N	GH12(116-267)	N	N	Y(1-23)	1
WP_052465312.1	2.4.1.-	GT81(14-261)	GT81	GT81	N	3
WP_052465316.1	N	GT2(39-162)	GT2	GT2	N	3
WP_052465331.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(244-443)	GH3	GH3	Y(1-33)	3
WP_052465351.1	N	GH23(64-170)	GH23	N	N	2
WP_052465354.1	N	GH130(25-336)	GH130	GH130	N	3
WP_052465374.1	N	GH10(100-397)	N	GH10	N	2
WP_052465417.1	N	GT4(193-349)	GT4	GT4	N	3
WP_052465427.1	3.2.1.52	GH3(53-168)	GH3	N	N	2
WP_052465471.1	N	GH73(136-257)	GH73	N	N	2
WP_070104627.1	N	GT4(284-392)	GT2+GT4	GT4	N	3
WP_082025911.1	N	GH28(51-405)	GH28	GH28	N	3
WP_144380707.1	N	GH109(2-177)	N	N	N	1
WP_232503677.1	N	GH23(58-178)	GH23	N	N	2
WP_232503697.1	N	GT2(9-130)	GT2	GT2	N	3
WP_232503716.1	3.2.1.8|3.1.1.73	CE1(59-288)	CE1	CE1	N	3
WP_232503720.1	3.2.1.68|3.2.1.-|2.4.1.25	GH13_11(217-571)	CBM48+GH13	CBM48+GH13_11	N	3
WP_232503723.1	3.2.1.78	GH5_7(44-339)	CBM27+GH5	CBM27+GH5_7	N	3
WP_232503757.1	N	CE4(75-208)	N	N	N	1
WP_232503793.1	N	GT56(28-276)	GT56	N	N	2
WP_041081089.1	N	N	GT4	N	N	1
WP_041081655.1	N	N	GT0	N	N	1
WP_041082058.1	N	N	GT4	GT4	N	2
WP_041082063.1	N	N	GT2+GT4	GT4	N	2
WP_041082125.1	N	N	GT4	GT4	N	2
WP_041082384.1	N	N	GT4	N	N	1
WP_041082707.1	N	N	CBM50	CBM50	N	2
WP_041082756.1	N	N	GT4	GT4	N	2
WP_041084217.1	N	N	CBM50	N	N	1
WP_041083091.1	N	N	CBM50	N	Y(1-32)	1
WP_052465410.1	N	N	CBM5	N	Y(1-26)	1
WP_041083898.1	N	N	GT4	N	N	1
WP_052465225.1	N	N	N	CBM50	N	1
WP_041081077.1	N	N	N	GH101	N	1
WP_052465228.1	N	N	N	GT58	N	1
WP_041081134.1	N	N	N	CBM50+GH25	N	1
WP_041081173.1	N	N	N	GH5_11	N	1
WP_232503785.1	N	N	N	GH28	N	1
WP_041081228.1	N	N	N	GT4	N	1
WP_041081388.1	N	N	N	GH13	N	1
WP_041081472.1	N	N	N	GH1	N	1
WP_041084028.1	N	N	N	GH84	N	1
WP_041081705.1	N	N	N	GT83	N	1
WP_041082590.1	N	N	N	GT4	N	1
WP_041082844.1	N	N	N	GH13	N	1
WP_041082861.1	N	N	N	GT1	N	1
WP_041084250.1	N	N	N	GH13_11	N	1
WP_041083116.1	N	N	N	GT2	N	1
WP_041083149.1	N	N	N	GT4	N	1
WP_041083189.1	N	N	N	GH13_31	N	1
WP_041084287.1	N	N	N	GH38	N	1
WP_041083422.1	N	N	N	CBM48+GH13_9	N	1
WP_052465416.1	N	N	N	GH20	N	1
WP_041083594.1	N	N	N	GH13_26	N	1
WP_041083619.1	N	N	N	GH28	N	1
WP_041083781.1	N	N	N	GT4	N	1
