Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_238374316.1	N	N	CBM35+GH39	CBM35+GH39	N	2
WP_012310858.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_148202929.1	N	N	GT4	N	N	1
WP_238514438.1	N	N	CBM50	CBM50	N	2
WP_004082064.1	N	N	GT4	N	N	1
WP_012311202.1	N	N	GT4	GT4	N	2
WP_012311334.1	N	N	GT0	GT0	N	2
WP_008193093.1	N	N	N	GH13_31	N	1
WP_012310289.1	N	N	N	GT4	N	1
WP_012310348.1	N	N	N	GT2	N	1
WP_012310374.1	N	N	N	GH28	N	1
WP_012310391.1	N	N	N	GH13_11	N	1
WP_012310395.1	N	N	N	GH101	N	1
WP_012310447.1	N	N	N	GT0	N	1
WP_012310452.1	N	N	N	GT2	N	1
WP_011942999.1	N	N	N	GT4	N	1
WP_004081297.1	N	N	N	CBM50	Y(1-19)	1
WP_012310538.1	N	N	N	CBM50+GH25	N	1
WP_008192177.1	N	N	N	GH13	N	1
WP_012310569.1	N	N	N	GH1	N	1
WP_012310677.1	N	N	N	GT1	N	1
WP_012310693.1	N	N	N	CBM48+GH13_9	N	1
WP_012310726.1	N	N	N	GT4	N	1
WP_012310750.1	N	N	N	GH13_26	N	1
WP_012310836.1	N	N	N	GT4	N	1
WP_012310874.1	N	N	N	GH5_11	N	1
WP_012310937.1	N	N	N	GH130	N	1
WP_004082059.1	N	N	N	GT58	N	1
WP_012311041.1	N	N	N	GH28	N	1
WP_012311077.1	N	N	N	GT83	N	1
WP_012311095.1	N	N	N	GH38	N	1
WP_012311129.1	N	N	N	GT4	N	1
WP_004081541.1	N	N	N	GH13	N	1
WP_012311308.1	N	N	N	GH84	N	1
WP_012311345.1	N	N	N	CE8	N	1
