genbank_accession,pdb_accession,genus,species,uniprot_name
AAG06393.1,5G5U,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5G1M,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL20138.1,4GVG,Salmonella,enterica subsp. enterica serovar Typhimurium str. LT2,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL20138.1,4GVH,Salmonella,enterica subsp. enterica serovar Typhimurium str. LT2,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL20138.1,4HZM,Salmonella,enterica subsp. enterica serovar Typhimurium str. LT2,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL20138.1,4GVF,Salmonella,enterica subsp. enterica serovar Typhimurium str. LT2,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL20138.1,4GVI,Salmonella,enterica subsp. enterica serovar Typhimurium str. LT2,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAL69548.3,5JU6,Rasamsonia,emersonii IMI 392299,Beta-glucosidase (EC 3.2.1.21)
AAW88893.1,6JTJ,Neisseria,gonorrhoeae FA 1090,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAW88893.1,6JTL,Neisseria,gonorrhoeae FA 1090,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAW88893.1,6JTI,Neisseria,gonorrhoeae FA 1090,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAW88893.1,6JTK,Neisseria,gonorrhoeae FA 1090,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
ABI29899.1,2X41,Thermotoga,neapolitana DSM 4359,Beta-glucosidase (EC 3.2.1.21)
ABI29899.1,2X40,Thermotoga,neapolitana DSM 4359,Beta-glucosidase (EC 3.2.1.21)
ABI29899.1,2X42,Thermotoga,neapolitana DSM 4359,Beta-glucosidase (EC 3.2.1.21)
ACQ82019.1,5BU9,Beutenbergia,cavernae DSM 12333,Beta-N-acetylhexosaminidase (EC 3.2.1.52)
ACY95404.1,3ABZ,Kluyveromyces,marxianus NBRC1777,Beta-glucosidase (EC 3.2.1.21)
ACY95404.1,3AC0,Kluyveromyces,marxianus NBRC1777,Beta-glucosidase (EC 3.2.1.21)
AGC24356.1,4ZM6,Rhizomucor,miehei CAU432,N-acetyl-beta-D glucosaminidase (EC 3.2.1.52)
AID68373.1,6JXG,Chaetomella,raphigera 737,Beta-glucosidase (EC 3.2.1.21) (Fragment)
APZ77041.1,5WVP,Paenibacillus,barengoltzii CAU904,Beta-glucosidase (EC 3.2.1.21)
APZ77041.1,5WUG,Paenibacillus,barengoltzii CAU904,Beta-glucosidase (EC 3.2.1.21)
BAA10968.1,4IIG,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IID,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IIF,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IIB,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IIE,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IIC,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAA10968.1,4IIH,Aspergillus,aculeatus F-50,Beta-glucosidase 1 (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
BAC00246.1,5IOB,Corynebacterium,glutamicum ATCC 13032,Beta-glucosidase-related glycosidases (EC 3.2.1.52)
BAE54829.1,5FJJ,Aspergillus,oryzae RIB40,Probable beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase A) (Cellobiase A) (Gentiobiase A)
CAA73902.1,6Q7J,Aspergillus,nidulans,"Exo-1,4-beta-xylosidase xlnD (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase xlnD) (Beta-xylosidase A) (Beta-xylosidase xlnD) (Xylobiase xlnD)"
CAA73902.1,6Q7I,Aspergillus,nidulans,"Exo-1,4-beta-xylosidase xlnD (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase xlnD) (Beta-xylosidase A) (Beta-xylosidase xlnD) (Xylobiase xlnD)"
CAA93248.1,5AE6,Trichoderma,reesei,"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)"
CAA93248.1,5A7M,Trichoderma,reesei,"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)"
CAB11942.1,3BMX,Bacillus,subtilis subsp. subtilis str. 168,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
CAB11942.1,4GYK,Bacillus,subtilis subsp. subtilis str. 168,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
CAB11942.1,4GYJ,Bacillus,subtilis subsp. subtilis str. 168,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
CAB11942.1,3NVD,Bacillus,subtilis subsp. subtilis str. 168,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
CAB11942.1,3LK6,Bacillus,subtilis subsp. subtilis str. 168,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
CAM05671.1,5M6G,Saccharopolyspora,erythraea NRRL 2338,"Beta-glucosidase (Glucan 1,4-beta-glucosidase) (EC 3.2.1.74)"
CAR53159.1,4GNV,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CAR53159.1,5UTQ,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CAR53159.1,5UTP,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CAR53159.1,4G6C,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CAR53159.1,4MSS,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CAR53159.1,5UTR,Burkholderia,cenocepacia J2315,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
CCP42966.1,6GFV,Mycobacterium,tuberculosis H37Rv,Beta-hexosaminidase LpqI (EC 3.2.1.52) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase)
EAA26868.1,5NBS,Neurospora,crassa OR74A,Beta-glucosidase (EC 3.2.1.21)
EAL88289.1,5FJI,Aspergillus,fumigatus Af293,Probable beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase A) (Cellobiase A) (Gentiobiase A)
