Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_012645043.1	N	N	N	CBM50+GH25	N	1
WP_012645100.1	N	N	N	GH1	N	1
WP_038066611.1	N	N	N	GT1	N	1
WP_015918941.1	N	N	N	CBM48+GH13_9	N	1
WP_038066718.1	N	N	N	GH13_26	N	1
WP_038067093.1	N	N	N	GH5_11	N	1
WP_038067177.1	N	N	N	GT4	N	1
WP_015919341.1	N	N	N	GT58	N	1
WP_015919483.1	N	N	N	GH38	N	1
WP_015919544.1	N	N	N	GT83	N	1
WP_015919691.1	N	N	N	GT4	N	1
WP_231556096.1	N	N	N	GH2	N	1
WP_038067864.1	N	N	N	GH84	N	1
WP_038068011.1	N	N	N	GH13_31	N	1
WP_038068097.1	N	N	N	GT2	N	1
WP_015920256.1	N	N	N	GH28	N	1
WP_015920276.1	N	N	N	GH13_11	N	1
WP_015920281.1	N	N	N	GH101	N	1
WP_012644917.1	N	N	N	GT4	N	1
