Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
acetylxylan esterase [unclassified Thermotoga],unclassified Thermotoga,NA,2631113,99%,1e-164,72.53,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008192031.1?report=genbank&log$=prottop&blast_rank=22&RID=1ZUW7R8T013"",""WP_008192031.1"")"
TPA: acetylxylan esterase [Thermotoga sp.],Thermotoga sp.,NA,28240,99%,3e-163,72.53,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEO49477.1?report=genbank&log$=prottop&blast_rank=23&RID=1ZUW7R8T013"",""HEO49477.1"")"
acetylxylan esterase [Thermotoga sp. RQ2],Thermotoga sp. RQ2,NA,126740,99%,2e-162,71.30,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012310584.1?report=genbank&log$=prottop&blast_rank=24&RID=1ZUW7R8T013"",""WP_012310584.1"")"
TPA: acetylxylan esterase [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,3e-160,71.12,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFV11286.1?report=genbank&log$=prottop&blast_rank=25&RID=1ZUW7R8T013"",""HFV11286.1"")"
acetylxylan esterase [bacterium],bacterium,NA,1869227,99%,7e-160,70.19,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7321227.1?report=genbank&log$=prottop&blast_rank=26&RID=1ZUW7R8T013"",""MBC7321227.1"")"
TPA: acetylxylan esterase [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,3e-158,70.19,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEK12021.1?report=genbank&log$=prottop&blast_rank=27&RID=1ZUW7R8T013"",""HEK12021.1"")"
acetylxylan esterase [Dictyoglomi bacterium],Dictyoglomi bacterium,NA,2599935,99%,2e-155,68.32,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP8638624.1?report=genbank&log$=prottop&blast_rank=28&RID=1ZUW7R8T013"",""MBP8638624.1"")"
TPA: acetylxylan esterase [Caldilinea aerophila],Caldilinea aerophila,NA,133453,97%,9e-144,68.11,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDX33340.1?report=genbank&log$=prottop&blast_rank=29&RID=1ZUW7R8T013"",""HDX33340.1"")"
acetylxylan esterase [Caldilinea aerophila],Caldilinea aerophila,NA,133453,97%,9e-144,68.11,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014433772.1?report=genbank&log$=prottop&blast_rank=30&RID=1ZUW7R8T013"",""WP_014433772.1"")"
TPA: acetylxylan esterase [bacterium],bacterium,NA,1869227,99%,3e-155,68.01,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHV81041.1?report=genbank&log$=prottop&blast_rank=31&RID=1ZUW7R8T013"",""HHV81041.1"")"
acetylxylan esterase [Pseudothermotoga],Pseudothermotoga,NA,1643951,98%,7e-154,67.50,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012002405.1?report=genbank&log$=prottop&blast_rank=32&RID=1ZUW7R8T013"",""WP_012002405.1"")"
acetylxylan esterase [Anaerolinea thermophila],Anaerolinea thermophila,NA,167964,98%,2e-140,67.29,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013560873.1?report=genbank&log$=prottop&blast_rank=33&RID=1ZUW7R8T013"",""WP_013560873.1"")"
acetylxylan esterase [Thermotoga profunda],Thermotoga profunda,NA,1508420,98%,6e-147,66.56,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041081535.1?report=genbank&log$=prottop&blast_rank=34&RID=1ZUW7R8T013"",""WP_041081535.1"")"
acetylxylan esterase [Dictyoglomus sp. NZ13-RE01],Dictyoglomus sp. NZ13-RE01,NA,2010949,98%,2e-138,66.25,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMQ02169.1?report=genbank&log$=prottop&blast_rank=35&RID=1ZUW7R8T013"",""PMQ02169.1"")"
TPA: acetylxylan esterase [Spirochaetes bacterium],Spirochaetes bacterium,NA,2202144,97%,2e-143,66.25,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHG52102.1?report=genbank&log$=prottop&blast_rank=36&RID=1ZUW7R8T013"",""HHG52102.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,98%,2e-141,65.94,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6291315.1?report=genbank&log$=prottop&blast_rank=37&RID=1ZUW7R8T013"",""MCD6291315.1"")"
TPA: acetylxylan esterase [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,1e-141,65.33,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGZ80230.1?report=genbank&log$=prottop&blast_rank=38&RID=1ZUW7R8T013"",""HGZ80230.1"")"
acetylxylan esterase [Anaerolinea thermolimosa],Anaerolinea thermolimosa,NA,229919,99%,9e-142,65.22,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062189254.1?report=genbank&log$=prottop&blast_rank=39&RID=1ZUW7R8T013"",""WP_062189254.1"")"
TPA: acetylxylan esterase [Anaerolinea thermolimosa],Anaerolinea thermolimosa,NA,229919,99%,2e-141,65.22,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGS20306.1?report=genbank&log$=prottop&blast_rank=40&RID=1ZUW7R8T013"",""HGS20306.1"")"
TPA: acetylxylan esterase [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,2e-140,65.02,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGY17688.1?report=genbank&log$=prottop&blast_rank=41&RID=1ZUW7R8T013"",""HGY17688.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,98%,4e-139,65.00,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NOZ29489.1?report=genbank&log$=prottop&blast_rank=42&RID=1ZUW7R8T013"",""NOZ29489.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,98%,2e-139,64.80,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUM46849.1?report=genbank&log$=prottop&blast_rank=43&RID=1ZUW7R8T013"",""NUM46849.1"")"
acetylxylan esterase [Calidithermus chliarophilus],Calidithermus chliarophilus,NA,52023,98%,7e-136,64.80,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027891957.1?report=genbank&log$=prottop&blast_rank=44&RID=1ZUW7R8T013"",""WP_027891957.1"")"
Acetyl xylan esterase [Thermotoga sp. 50_64],Thermotoga sp. 50_64,NA,1635259,99%,7e-140,64.71,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUK02849.1?report=genbank&log$=prottop&blast_rank=45&RID=1ZUW7R8T013"",""KUK02849.1"")"
prolyl oligopeptidase family serine peptidase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,2e-138,64.71,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPV68713.1?report=genbank&log$=prottop&blast_rank=46&RID=1ZUW7R8T013"",""NPV68713.1"")"
acetylxylan esterase [Caldilinea sp.],Caldilinea sp.,NA,2293560,97%,1e-137,64.71,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB0025126.1?report=genbank&log$=prottop&blast_rank=47&RID=1ZUW7R8T013"",""MCB0025126.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,7e-140,64.60,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1261915.1?report=genbank&log$=prottop&blast_rank=48&RID=1ZUW7R8T013"",""MBN1261915.1"")"
acetyl xylan esterase family protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,9e-139,64.60,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP1692464.1?report=genbank&log$=prottop&blast_rank=49&RID=1ZUW7R8T013"",""MBP1692464.1"")"
acetylxylan esterase [Thermobaculum terrenum],Thermobaculum terrenum,NA,166501,99%,4e-144,64.51,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012874158.1?report=genbank&log$=prottop&blast_rank=50&RID=1ZUW7R8T013"",""WP_012874158.1"")"
acetylxylan esterase [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,3e-140,64.40,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_031505024.1?report=genbank&log$=prottop&blast_rank=51&RID=1ZUW7R8T013"",""WP_031505024.1"")"
acetylxylan esterase [Thermopolyspora flexuosa],Thermopolyspora flexuosa,NA,103836,99%,1e-135,64.29,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_142258612.1?report=genbank&log$=prottop&blast_rank=52&RID=1ZUW7R8T013"",""WP_142258612.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,97%,3e-136,64.26,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2469266.1?report=genbank&log$=prottop&blast_rank=53&RID=1ZUW7R8T013"",""MBN2469266.1"")"
acetylxylan esterase [candidate division KSB1 bacterium],candidate division KSB1 bacterium,NA,2172550,97%,1e-140,64.24,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUM67680.1?report=genbank&log$=prottop&blast_rank=54&RID=1ZUW7R8T013"",""NUM67680.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,2e-140,64.09,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI4927186.1?report=genbank&log$=prottop&blast_rank=55&RID=1ZUW7R8T013"",""MBI4927186.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,6e-137,64.09,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB0249950.1?report=genbank&log$=prottop&blast_rank=56&RID=1ZUW7R8T013"",""MCB0249950.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,98%,2e-136,64.06,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN8618289.1?report=genbank&log$=prottop&blast_rank=57&RID=1ZUW7R8T013"",""MBN8618289.1"")"
acetylxylan esterase [Caldilineaceae bacterium],Caldilineaceae bacterium,NA,2614250,98%,6e-141,64.00,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP8293496.1?report=genbank&log$=prottop&blast_rank=58&RID=1ZUW7R8T013"",""MBP8293496.1"")"
acetylxylan esterase [Candidatus Omnitrophica bacterium],Candidatus Omnitrophica bacterium,NA,2035772,99%,2e-138,63.98,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU2496160.1?report=genbank&log$=prottop&blast_rank=59&RID=1ZUW7R8T013"",""MBU2496160.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,5e-136,63.98,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN8637726.1?report=genbank&log$=prottop&blast_rank=60&RID=1ZUW7R8T013"",""MBN8637726.1"")"
acetylxylan esterase [Chloroflexi bacterium HGW-Chloroflexi-6],Chloroflexi bacterium HGW-Chloroflexi-6,NA,2013729,99%,8e-142,63.89,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PKN92865.1?report=genbank&log$=prottop&blast_rank=61&RID=1ZUW7R8T013"",""PKN92865.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,98%,2e-137,63.86,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCA9960644.1?report=genbank&log$=prottop&blast_rank=62&RID=1ZUW7R8T013"",""MCA9960644.1"")"
TPA: acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,98%,3e-136,63.86,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFU30226.1?report=genbank&log$=prottop&blast_rank=63&RID=1ZUW7R8T013"",""HFU30226.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,1e-141,63.78,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5652308.1?report=genbank&log$=prottop&blast_rank=64&RID=1ZUW7R8T013"",""MBI5652308.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,98%,2e-142,63.75,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1303120.1?report=genbank&log$=prottop&blast_rank=65&RID=1ZUW7R8T013"",""MBN1303120.1"")"
acetylxylan esterase [Caldilineaceae bacterium],Caldilineaceae bacterium,NA,2614250,99%,4e-138,63.69,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP7960936.1?report=genbank&log$=prottop&blast_rank=66&RID=1ZUW7R8T013"",""MBP7960936.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,4e-143,63.66,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ0276271.1?report=genbank&log$=prottop&blast_rank=67&RID=1ZUW7R8T013"",""MBZ0276271.1"")"
acetylxylan esterase [Herpetosiphonaceae bacterium],Herpetosiphonaceae bacterium,NA,2720503,99%,2e-140,63.66,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA3947637.1?report=genbank&log$=prottop&blast_rank=68&RID=1ZUW7R8T013"",""MBA3947637.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,98%,1e-138,63.55,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PWH16319.1?report=genbank&log$=prottop&blast_rank=69&RID=1ZUW7R8T013"",""PWH16319.1"")"
Acetyl xylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,2e-136,63.47,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP1700898.1?report=genbank&log$=prottop&blast_rank=70&RID=1ZUW7R8T013"",""MBP1700898.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,98%,7e-139,63.44,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ0320825.1?report=genbank&log$=prottop&blast_rank=71&RID=1ZUW7R8T013"",""MBZ0320825.1"")"
acetylxylan esterase [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,99%,6e-142,63.35,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB9453793.1?report=genbank&log$=prottop&blast_rank=72&RID=1ZUW7R8T013"",""MCB9453793.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,4e-136,63.35,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5667840.1?report=genbank&log$=prottop&blast_rank=73&RID=1ZUW7R8T013"",""MBI5667840.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,5e-136,63.35,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1119973.1?report=genbank&log$=prottop&blast_rank=74&RID=1ZUW7R8T013"",""MBN1119973.1"")"
acetylxylan esterase [Phytoactinopolyspora alkaliphila],Phytoactinopolyspora alkaliphila,NA,1783498,99%,1e-135,63.27,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NED93842.1?report=genbank&log$=prottop&blast_rank=75&RID=1ZUW7R8T013"",""NED93842.1"")"
TPA: acetylxylan esterase [Verrucomicrobia bacterium],Verrucomicrobia bacterium,NA,2026799,99%,4e-136,63.16,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHI33837.1?report=genbank&log$=prottop&blast_rank=76&RID=1ZUW7R8T013"",""HHI33837.1"")"
acetylxylan esterase [Roseiflexus sp. RS-1],Roseiflexus sp. RS-1,NA,357808,99%,9e-136,63.16,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011955564.1?report=genbank&log$=prottop&blast_rank=77&RID=1ZUW7R8T013"",""WP_011955564.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,98%,1e-139,63.12,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2385652.1?report=genbank&log$=prottop&blast_rank=78&RID=1ZUW7R8T013"",""MBN2385652.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,98%,4e-139,63.12,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL1134994.1?report=genbank&log$=prottop&blast_rank=79&RID=1ZUW7R8T013"",""MBL1134994.1"")"
acetylxylan esterase [Kouleothrix sp.],Kouleothrix sp.,NA,2779161,98%,1e-135,63.12,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK9712701.1?report=genbank&log$=prottop&blast_rank=80&RID=1ZUW7R8T013"",""MBK9712701.1"")"
TPA: acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,98%,1e-136,63.04,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEI64351.1?report=genbank&log$=prottop&blast_rank=81&RID=1ZUW7R8T013"",""HEI64351.1"")"
acetylxylan esterase [Roseiflexus sp.],Roseiflexus sp.,NA,2562120,99%,5e-136,62.96,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO9321184.1?report=genbank&log$=prottop&blast_rank=82&RID=1ZUW7R8T013"",""MBO9321184.1"")"
Cephalosporin-C deacetylase [Chloroflexi bacterium ADurb.Bin360],Chloroflexi bacterium ADurb.Bin360,NA,1852861,99%,1e-137,62.85,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OQA15897.1?report=genbank&log$=prottop&blast_rank=83&RID=1ZUW7R8T013"",""OQA15897.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,1e-137,62.85,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2118471.1?report=genbank&log$=prottop&blast_rank=84&RID=1ZUW7R8T013"",""MBN2118471.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,5e-136,62.65,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCC6800081.1?report=genbank&log$=prottop&blast_rank=85&RID=1ZUW7R8T013"",""MCC6800081.1"")"
cephalosporin-C deacetylase [Pelolinea submarina],Pelolinea submarina,NA,913107,98%,6e-137,62.62,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/REG11319.1?report=genbank&log$=prottop&blast_rank=86&RID=1ZUW7R8T013"",""REG11319.1"")"
acetylxylan esterase [Pelolinea submarina],Pelolinea submarina,NA,913107,99%,9e-138,62.54,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_116224452.1?report=genbank&log$=prottop&blast_rank=87&RID=1ZUW7R8T013"",""WP_116224452.1"")"
acetylxylan esterase [Chloroflexi bacterium AL-N1],Chloroflexi bacterium AL-N1,NA,2686367,98%,2e-139,62.50,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NOK60243.1?report=genbank&log$=prottop&blast_rank=88&RID=1ZUW7R8T013"",""NOK60243.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,6e-138,62.42,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PLS77166.1?report=genbank&log$=prottop&blast_rank=89&RID=1ZUW7R8T013"",""PLS77166.1"")"
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,98%,1e-137,62.31,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN8590965.1?report=genbank&log$=prottop&blast_rank=90&RID=1ZUW7R8T013"",""MBN8590965.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,4e-139,62.23,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI5304992.1?report=genbank&log$=prottop&blast_rank=91&RID=1ZUW7R8T013"",""MBI5304992.1"")"
acetylxylan esterase [Jiangella asiatica],Jiangella asiatica,NA,2530372,99%,3e-136,62.23,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131897165.1?report=genbank&log$=prottop&blast_rank=92&RID=1ZUW7R8T013"",""WP_131897165.1"")"
TPA: acetylxylan esterase [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,98%,8e-137,62.16,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU66525.1?report=genbank&log$=prottop&blast_rank=93&RID=1ZUW7R8T013"",""HEU66525.1"")"
