Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
ABC transporter ATP-binding protein [Thermotoga sp. RQ7],Thermotoga sp. RQ7,NA,126738,100%,0.0,94.38,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041844114.1?report=genbank&log$=prottop&blast_rank=11&RID=1ZVADM9B013"",""WP_041844114.1"")"
ABC transporter ATP-binding protein [Thermotoga neapolitana],Thermotoga neapolitana,NA,2337,100%,0.0,94.38,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015919113.1?report=genbank&log$=prottop&blast_rank=12&RID=1ZVADM9B013"",""WP_015919113.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. SG1],Thermotoga sp. SG1,NA,126739,100%,0.0,95.00,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101512673.1?report=genbank&log$=prottop&blast_rank=13&RID=1ZVADM9B013"",""WP_101512673.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. Ku-13t],Thermotoga sp. Ku-13t,NA,1755813,100%,0.0,78.75,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165274892.1?report=genbank&log$=prottop&blast_rank=14&RID=1ZVADM9B013"",""WP_165274892.1"")"
ABC transporter ATP-binding protein [Thermotoga caldifontis],Thermotoga caldifontis,NA,1508419,100%,0.0,78.75,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041077399.1?report=genbank&log$=prottop&blast_rank=15&RID=1ZVADM9B013"",""WP_041077399.1"")"
ABC transporter ATP-binding protein [Pseudothermotoga lettingae],Pseudothermotoga lettingae,NA,177758,99%,3e-172,75.16,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012002403.1?report=genbank&log$=prottop&blast_rank=16&RID=1ZVADM9B013"",""WP_012002403.1"")"
ABC transporter ATP-binding protein [Pseudothermotoga elfii],Pseudothermotoga elfii,NA,38322,99%,6e-172,73.27,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_028843448.1?report=genbank&log$=prottop&blast_rank=17&RID=1ZVADM9B013"",""WP_028843448.1"")"
"Oligopeptide/dipeptide ABC transporter, ATPase subunit [Thermotoga sp. 50_64]",Thermotoga sp. 50_64,NA,1635259,99%,2e-169,73.58,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUK02851.1?report=genbank&log$=prottop&blast_rank=18&RID=1ZVADM9B013"",""KUK02851.1"")"
TPA: ABC transporter ATP-binding protein [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,3e-169,72.96,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGZ80228.1?report=genbank&log$=prottop&blast_rank=19&RID=1ZVADM9B013"",""HGZ80228.1"")"
peptide ABC transporter ATP-binding protein [Pseudothermotoga hypogea DSM 11164 = NBRC 106472],Pseudothermotoga hypogea DSM 11164 = NBRC 106472,NA,1123384,99%,1e-168,72.64,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJC74132.1?report=genbank&log$=prottop&blast_rank=20&RID=1ZVADM9B013"",""AJC74132.1"")"
ABC transporter ATP-binding protein [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,3e-168,72.64,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_081708937.1?report=genbank&log$=prottop&blast_rank=21&RID=1ZVADM9B013"",""WP_081708937.1"")"
ABC transporter ATP-binding protein [Pseudothermotoga thermarum],Pseudothermotoga thermarum,NA,119394,99%,2e-167,72.96,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013931467.1?report=genbank&log$=prottop&blast_rank=22&RID=1ZVADM9B013"",""WP_013931467.1"")"
TPA: ABC transporter ATP-binding protein [Pseudothermotoga hypogea],Pseudothermotoga hypogea,NA,57487,99%,5e-167,72.33,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGY17690.1?report=genbank&log$=prottop&blast_rank=23&RID=1ZVADM9B013"",""HGY17690.1"")"
ABC transporter ATP-binding protein [Thermotoga profunda],Thermotoga profunda,NA,1508420,99%,1e-165,70.66,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041081538.1?report=genbank&log$=prottop&blast_rank=24&RID=1ZVADM9B013"",""WP_041081538.1"")"
ABC transporter ATP-binding protein [Fervidobacterium gondwanense],Fervidobacterium gondwanense,NA,44754,99%,4e-156,69.18,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072757169.1?report=genbank&log$=prottop&blast_rank=25&RID=1ZVADM9B013"",""WP_072757169.1"")"
ABC transporter ATP-binding protein [Fervidobacterium changbaicum],Fervidobacterium changbaicum,NA,310769,99%,5e-155,66.67,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090223011.1?report=genbank&log$=prottop&blast_rank=26&RID=1ZVADM9B013"",""WP_090223011.1"")"
peptide ABC transporter ATP-binding protein [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,99%,6e-155,67.19,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAT96109.1?report=genbank&log$=prottop&blast_rank=27&RID=1ZVADM9B013"",""MAT96109.1"")"
ABC transporter ATP-binding protein [Caldilinea sp. CFX5],Caldilinea sp. CFX5,NA,2293554,99%,8e-155,67.82,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCE7989307.1?report=genbank&log$=prottop&blast_rank=28&RID=1ZVADM9B013"",""MCE7989307.1"")"
TPA: ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,8e-154,68.45,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDX49348.1?report=genbank&log$=prottop&blast_rank=29&RID=1ZVADM9B013"",""HDX49348.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,2e-153,69.72,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7251061.1?report=genbank&log$=prottop&blast_rank=30&RID=1ZVADM9B013"",""MBC7251061.1"")"
TPA: ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,3e-153,68.77,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGH59626.1?report=genbank&log$=prottop&blast_rank=31&RID=1ZVADM9B013"",""HGH59626.1"")"
ABC transporter ATP-binding protein [Caldilineaceae bacterium],Caldilineaceae bacterium,NA,2614250,99%,5e-153,67.19,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX2998291.1?report=genbank&log$=prottop&blast_rank=32&RID=1ZVADM9B013"",""MBX2998291.1"")"
TPA: ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,1e-152,68.65,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGV26211.1?report=genbank&log$=prottop&blast_rank=33&RID=1ZVADM9B013"",""HGV26211.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,2e-152,67.19,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2146418.1?report=genbank&log$=prottop&blast_rank=34&RID=1ZVADM9B013"",""MBN2146418.1"")"
ABC transporter ATP-binding protein [Thermoflexales bacterium],Thermoflexales bacterium,NA,2497639,99%,4e-152,67.82,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7227409.1?report=genbank&log$=prottop&blast_rank=35&RID=1ZVADM9B013"",""MBC7227409.1"")"
TPA: peptide ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,5e-152,66.56,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAJ36944.1?report=genbank&log$=prottop&blast_rank=36&RID=1ZVADM9B013"",""HAJ36944.1"")"
ABC transporter ATP-binding protein [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,99%,1e-151,65.93,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK8902503.1?report=genbank&log$=prottop&blast_rank=37&RID=1ZVADM9B013"",""MBK8902503.1"")"
TPA: ABC transporter ATP-binding protein [Thermotogaceae bacterium],Thermotogaceae bacterium,NA,2268206,100%,1e-151,67.50,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEW92638.1?report=genbank&log$=prottop&blast_rank=38&RID=1ZVADM9B013"",""HEW92638.1"")"
TPA: peptide ABC transporter ATP-binding protein [Thermotoga naphthophila],Thermotoga naphthophila,NA,93930,71%,2e-151,98.25,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBT99930.1?report=genbank&log$=prottop&blast_rank=39&RID=1ZVADM9B013"",""HBT99930.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,5e-151,67.51,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1995867.1?report=genbank&log$=prottop&blast_rank=40&RID=1ZVADM9B013"",""MBN1995867.1"")"
TPA: peptide ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,6e-151,65.93,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBX68539.1?report=genbank&log$=prottop&blast_rank=41&RID=1ZVADM9B013"",""HBX68539.1"")"
TPA: ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,2e-150,66.56,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHY54020.1?report=genbank&log$=prottop&blast_rank=42&RID=1ZVADM9B013"",""HHY54020.1"")"
ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,5e-150,66.25,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLG96911.1?report=genbank&log$=prottop&blast_rank=43&RID=1ZVADM9B013"",""NLG96911.1"")"
ABC transporter ATP-binding protein [Roseiflexus castenholzii],Roseiflexus castenholzii,NA,120962,99%,7e-150,64.98,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012119447.1?report=genbank&log$=prottop&blast_rank=44&RID=1ZVADM9B013"",""WP_012119447.1"")"
TPA: ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,8e-150,67.51,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFK84004.1?report=genbank&log$=prottop&blast_rank=45&RID=1ZVADM9B013"",""HFK84004.1"")"
ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,2e-149,65.30,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU6351880.1?report=genbank&log$=prottop&blast_rank=46&RID=1ZVADM9B013"",""MBU6351880.1"")"
ABC transporter ATP-binding protein [Ardenticatenaceae bacterium],Ardenticatenaceae bacterium,NA,2614247,99%,2e-149,64.98,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB8942476.1?report=genbank&log$=prottop&blast_rank=47&RID=1ZVADM9B013"",""MCB8942476.1"")"
ABC transporter ATP-binding protein [Ardenticatenales bacterium],Ardenticatenales bacterium,NA,2614248,99%,3e-149,64.78,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB8962468.1?report=genbank&log$=prottop&blast_rank=48&RID=1ZVADM9B013"",""MCB8962468.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,6e-149,64.47,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCA9989139.1?report=genbank&log$=prottop&blast_rank=49&RID=1ZVADM9B013"",""MCA9989139.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,1e-148,67.19,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1135307.1?report=genbank&log$=prottop&blast_rank=50&RID=1ZVADM9B013"",""MBN1135307.1"")"
peptide ABC transporter ATP-binding protein [Roseiflexus castenholzii],Roseiflexus castenholzii,NA,120962,99%,3e-148,64.35,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP76922.1?report=genbank&log$=prottop&blast_rank=51&RID=1ZVADM9B013"",""PMP76922.1"")"
ABC transporter ATP-binding protein [Thermoflexales bacterium],Thermoflexales bacterium,NA,2497639,99%,6e-148,66.56,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1886505.1?report=genbank&log$=prottop&blast_rank=52&RID=1ZVADM9B013"",""MBN1886505.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,1e-147,64.35,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2004258.1?report=genbank&log$=prottop&blast_rank=53&RID=1ZVADM9B013"",""MBN2004258.1"")"
ABC transporter ATP-binding protein [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,99%,2e-147,65.30,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE0697455.1?report=genbank&log$=prottop&blast_rank=54&RID=1ZVADM9B013"",""MBE0697455.1"")"
ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,4e-147,63.95,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLO65342.1?report=genbank&log$=prottop&blast_rank=55&RID=1ZVADM9B013"",""NLO65342.1"")"
TPA: ABC transporter ATP-binding protein [bacterium],bacterium,NA,1869227,99%,4e-147,64.80,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHV81236.1?report=genbank&log$=prottop&blast_rank=56&RID=1ZVADM9B013"",""HHV81236.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,6e-147,65.62,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJN53775.1?report=genbank&log$=prottop&blast_rank=57&RID=1ZVADM9B013"",""NJN53775.1"")"
ABC transporter ATP-binding protein [Caldilineaceae bacterium],Caldilineaceae bacterium,NA,2614250,99%,7e-147,64.35,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX3015246.1?report=genbank&log$=prottop&blast_rank=58&RID=1ZVADM9B013"",""MBX3015246.1"")"
ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,9e-147,65.30,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBM4459567.1?report=genbank&log$=prottop&blast_rank=59&RID=1ZVADM9B013"",""MBM4459567.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,1e-146,66.88,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2501426.1?report=genbank&log$=prottop&blast_rank=60&RID=1ZVADM9B013"",""MBN2501426.1"")"
ABC transporter ATP-binding protein [Dictyoglomi bacterium],Dictyoglomi bacterium,NA,2599935,99%,1e-146,64.80,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBP8638713.1?report=genbank&log$=prottop&blast_rank=61&RID=1ZVADM9B013"",""MBP8638713.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,1e-146,64.67,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUM43794.1?report=genbank&log$=prottop&blast_rank=62&RID=1ZVADM9B013"",""NUM43794.1"")"
ABC transporter ATP-binding protein [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,99%,2e-146,63.01,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLV99727.1?report=genbank&log$=prottop&blast_rank=63&RID=1ZVADM9B013"",""NLV99727.1"")"
TPA: ABC transporter ATP-binding protein [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,99%,3e-146,66.56,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU66919.1?report=genbank&log$=prottop&blast_rank=64&RID=1ZVADM9B013"",""HEU66919.1"")"
ABC transporter ATP-binding protein [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,99%,3e-146,68.14,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149122475.1?report=genbank&log$=prottop&blast_rank=65&RID=1ZVADM9B013"",""WP_149122475.1"")"
ABC transporter ATP-binding protein [Petrotoga mobilis],Petrotoga mobilis,NA,69499,99%,3e-146,63.41,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012208085.1?report=genbank&log$=prottop&blast_rank=66&RID=1ZVADM9B013"",""WP_012208085.1"")"
ABC transporter ATP-binding protein [Petrotoga olearia],Petrotoga olearia,NA,156203,99%,4e-146,63.41,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103067751.1?report=genbank&log$=prottop&blast_rank=67&RID=1ZVADM9B013"",""WP_103067751.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,4e-146,65.62,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN2116456.1?report=genbank&log$=prottop&blast_rank=68&RID=1ZVADM9B013"",""MBN2116456.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,4e-146,65.62,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1220065.1?report=genbank&log$=prottop&blast_rank=69&RID=1ZVADM9B013"",""MBN1220065.1"")"
ABC transporter ATP-binding protein [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,99%,6e-146,68.14,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012547887.1?report=genbank&log$=prottop&blast_rank=70&RID=1ZVADM9B013"",""WP_012547887.1"")"
ABC transporter ATP-binding protein [Dictyoglomus turgidum],Dictyoglomus turgidum,NA,513050,99%,6e-146,67.82,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012584066.1?report=genbank&log$=prottop&blast_rank=71&RID=1ZVADM9B013"",""WP_012584066.1"")"
ABC transporter ATP-binding protein [Thermotoga maritima],Thermotoga maritima,NA,2336,99%,8e-146,64.35,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004080132.1?report=genbank&log$=prottop&blast_rank=72&RID=1ZVADM9B013"",""WP_004080132.1"")"
ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,1e-145,63.41,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RPJ49704.1?report=genbank&log$=prottop&blast_rank=73&RID=1ZVADM9B013"",""RPJ49704.1"")"
TPA: ABC transporter ATP-binding protein [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,99%,2e-145,66.25,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFX14327.1?report=genbank&log$=prottop&blast_rank=74&RID=1ZVADM9B013"",""HFX14327.1"")"
TPA: ABC transporter ATP-binding protein [Candidatus Marinimicrobia bacterium],Candidatus Marinimicrobia bacterium,NA,2026760,99%,2e-145,64.67,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDN59275.1?report=genbank&log$=prottop&blast_rank=75&RID=1ZVADM9B013"",""HDN59275.1"")"
"Oligopeptide/dipeptide ABC transporter, ATPase subunit [Petrotoga mobilis]",Petrotoga mobilis,NA,69499,99%,4e-145,63.09,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUK83734.1?report=genbank&log$=prottop&blast_rank=76&RID=1ZVADM9B013"",""KUK83734.1"")"
ABC transporter ATP-binding protein [Caldilinea aerophila],Caldilinea aerophila,NA,133453,99%,6e-145,64.04,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014431579.1?report=genbank&log$=prottop&blast_rank=77&RID=1ZVADM9B013"",""WP_014431579.1"")"
ABC transporter ATP-binding protein [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,98%,6e-145,65.29,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK8136057.1?report=genbank&log$=prottop&blast_rank=78&RID=1ZVADM9B013"",""MBK8136057.1"")"
ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,6e-145,63.21,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLM41011.1?report=genbank&log$=prottop&blast_rank=79&RID=1ZVADM9B013"",""NLM41011.1"")"
TPA: ABC transporter ATP-binding protein [Caldilinea aerophila],Caldilinea aerophila,NA,133453,99%,9e-145,64.35,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDX32088.1?report=genbank&log$=prottop&blast_rank=80&RID=1ZVADM9B013"",""HDX32088.1"")"
ABC transporter ATP-binding protein [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,1e-144,63.41,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK8795791.1?report=genbank&log$=prottop&blast_rank=81&RID=1ZVADM9B013"",""MBK8795791.1"")"
ABC transporter ATP-binding protein [Halanaerobiaceae bacterium],Halanaerobiaceae bacterium,NA,2093794,99%,1e-144,65.72,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLM96884.1?report=genbank&log$=prottop&blast_rank=82&RID=1ZVADM9B013"",""NLM96884.1"")"
ABC transporter ATP-binding protein [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,1e-144,64.04,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX3062689.1?report=genbank&log$=prottop&blast_rank=83&RID=1ZVADM9B013"",""MBX3062689.1"")"
ABC transporter ATP-binding protein [Caldilineaceae bacterium],Caldilineaceae bacterium,NA,2614250,99%,2e-144,62.46,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCB0160086.1?report=genbank&log$=prottop&blast_rank=84&RID=1ZVADM9B013"",""MCB0160086.1"")"
peptide ABC transporter ATP-binding protein [Dictyoglomus sp. NZ13-RE01],Dictyoglomus sp. NZ13-RE01,NA,2010949,99%,2e-144,65.62,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMQ01351.1?report=genbank&log$=prottop&blast_rank=85&RID=1ZVADM9B013"",""PMQ01351.1"")"
TPA: ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,4e-144,63.16,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHT42042.1?report=genbank&log$=prottop&blast_rank=86&RID=1ZVADM9B013"",""HHT42042.1"")"
ABC transporter ATP-binding protein [Candidatus Aerophobetes bacterium],Candidatus Aerophobetes bacterium,NA,2030807,99%,5e-144,65.62,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RLE09465.1?report=genbank&log$=prottop&blast_rank=87&RID=1ZVADM9B013"",""RLE09465.1"")"
ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,6e-144,63.84,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLL08340.1?report=genbank&log$=prottop&blast_rank=88&RID=1ZVADM9B013"",""NLL08340.1"")"
TPA: ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,6e-144,64.15,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHW72187.1?report=genbank&log$=prottop&blast_rank=89&RID=1ZVADM9B013"",""HHW72187.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. RQ2],Thermotoga sp. RQ2,NA,126740,99%,1e-143,63.52,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012311224.1?report=genbank&log$=prottop&blast_rank=90&RID=1ZVADM9B013"",""WP_012311224.1"")"
ABC transporter ATP-binding protein [Petrotoga sp. 9PWA.NaAc.5.4],Petrotoga sp. 9PWA.NaAc.5.4,NA,1434328,99%,2e-143,61.83,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_121958386.1?report=genbank&log$=prottop&blast_rank=91&RID=1ZVADM9B013"",""WP_121958386.1"")"
